Location ISO Code,Location,City or Regency,Province,Total Regencies,Total Cities,Total Districts
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
ID-JK,DKI Jakarta,,DKI Jakarta,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
IDN,Indonesia,,,416,98,7230
