Kalimantan Barat,Kalimantan,Kalimantan Barat,16811
Kepulauan Riau,Sumatera,Kepulauan Riau,30637
Sumatera Utara,Sumatera,Sumatera Utara,38040
Jawa Barat,Jawa,Jawa Barat,440379
Kalimantan Tengah,Kalimantan,Kalimantan Tengah,27808
Maluku Utara,Maluku,Maluku Utara,6526
Jawa Timur,Jawa,Jawa Timur,189705
Lampung,Sumatera,Lampung,24378
Sumatera Barat,Sumatera,Sumatera Barat,55675
Aceh,Sumatera,Aceh,20140
Riau,Sumatera,Riau,74899
DKI Jakarta,Jawa,DKI Jakarta,636383
Sumatera Selatan,Sumatera,Sumatera Selatan,31147
Bengkulu,Sumatera,Bengkulu,11671
Sulawesi Barat,Sulawesi,Sulawesi Barat,6251
Banten,Jawa,Banten,61689
Kalimantan Utara,Kalimantan,Kalimantan Utara,14274
Nusa Tenggara Timur,Nusa Tenggara,Nusa Tenggara Timur,22933
Nusa Tenggara Barat,Nusa Tenggara,Nusa Tenggara Barat,13466
Jawa Tengah,Jawa,Jawa Tengah,285348
Sulawesi Utara,Sulawesi,Sulawesi Utara,17424
Kalimantan Selatan,Kalimantan,Kalimantan Selatan,37176
Kepulauan Bangka Belitung,Sumatera,Kepulauan Bangka Belitung,23188
Papua Barat,Papua,Papua Barat,13087
Jambi,Sumatera,Jambi,13935
Kalimantan Timur,Kalimantan,Kalimantan Timur,83762
Papua,Papua,Papua,21503
Sulawesi Tengah,Sulawesi,Sulawesi Tengah,14669
Sulawesi Tenggara,Sulawesi,Sulawesi Tenggara,12447
Sulawesi Selatan,Sulawesi,Sulawesi Selatan,67280
Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa Yogyakarta,72560
Bali,Nusa Tenggara,Bali,54079
Indonesia,,,2455912
Maluku,Maluku,Maluku,10465
