DKI Jakarta,8.55
Kalimantan Timur,5.64
Daerah Istimewa Yogyakarta,5.21
Bali,3.84
Jawa Tengah,3.45
Jawa Timur,3.37
Riau,3.32
Kepulauan Riau,3.31
Kalimantan Utara,3.24
Kalimantan Selatan,2.71
Kepulauan Bangka Belitung,2.65
Indonesia,2.44
Sumatera Barat,2.28
Sulawesi Utara,2.17
Kalimantan Tengah,2.16
Sumatera Selatan,1.91
Papua Barat,1.74
Aceh,1.64
Sulawesi Tengah,1.43
Banten,1.36
Jawa Barat,1.33
Lampung,1.26
Maluku Utara,1.09
Sulawesi Selatan,1.08
Bengkulu,0.97
Sulawesi Tenggara,0.96
Nusa Tenggara Barat,0.94
Nusa Tenggara Timur,0.91
Maluku,0.89
Sumatera Utara,0.83
Jambi,0.81
Sulawesi Barat,0.81
Kalimantan Barat,0.76
Papua,0.49
