Jawa Tengah,3/5/2021,23.98,0.47,4321.49,187.41
Jawa Barat,11/20/2020,19.31,0.02,1047.95,19.13
Jawa Tengah,3/8/2021,23.95,2.34,4372.39,190.02
Jawa Tengah,12/26/2020,23.95,0.52,2135.35,93.42
Jawa Barat,6/6/2021,19.26,0.33,7080.44,95.41
Jawa Tengah,11/27/2020,23.92,1.32,1487.35,70.26
DKI Jakarta,8/28/2020,80.12,0.92,3418.73,107.41
Jawa Tengah,2/17/2021,23.87,0.16,3983.11,166.87
DKI Jakarta,5/23/2021,79.94,1.11,39092.78,651.11
DKI Jakarta,3/9/2021,79.94,4.15,32552.21,543.42
Jawa Timur,1/18/2021,21.32,0.96,2479.9,184.37
DKI Jakarta,4/7/2021,79.48,0.83,35803.87,589.7
Jawa Timur,1/1/2021,21.29,1.58,2106.62,159.74
Indonesia,6/21/2020,3.25,0.14,173.05,9.3
Banten,3/17/2021,80.3,0.28,3127.76,87.01
DKI Jakarta,8/29/2020,79.38,1.66,3498.11,109.07
Daerah Istimewa Yogyakarta,6/28/2021,236.57,8.81,16171.24,416.14
Jawa Tengah,4/13/2021,23.57,0.41,4824.4,211.8
Indonesia,6/14/2020,3.23,0.16,144.34,8.05
DKI Jakarta,5/21/2021,78.92,1.48,38926.92,648.89
Jawa Barat,3/26/2021,18.93,0.02,5442.16,67
Jawa Barat,12/13/2020,18.93,0.11,1466.08,23.32
DKI Jakarta,5/2/2021,78.74,0.92,37837.96,616.9
Jawa Timur,1/30/2021,21.1,0.94,2768.5,197.76
Jawa Tengah,5/10/2021,23.46,2.09,5173.68,240.48
Jawa Tengah,6/1/2021,23.4,0.63,5527.38,258.11
Jawa Timur,1/31/2021,21.02,0.82,2789.52,198.57
Daerah Istimewa Yogyakarta,6/29/2021,234.09,4.96,16405.33,421.09
Banten,4/2/2021,79.27,0.75,3685.19,91.02
Indonesia,6/8/2020,3.19,0.12,120.79,7.1
DKI Jakarta,5/5/2021,77.91,1.11,38024.02,621.51
Jawa Timur,1/11/2021,20.85,1.14,2307.76,174.11
DKI Jakarta,10/28/2020,77.82,1.57,9544.68,204.59
Jawa Tengah,4/15/2021,23.1,0.96,4867.14,213.34
Jawa Tengah,11/24/2020,22.99,0.36,1421.1,67.73
DKI Jakarta,3/16/2021,76.99,1.84,33409.66,563.79
Jawa Barat,4/17/2021,18.42,0.2,5892.56,77.21
Jawa Timur,1/12/2021,20.55,1.68,2328.32,175.79
Jawa Timur,12/17/2020,20.55,0.89,1798.07,138.27
Daerah Istimewa Yogyakarta,6/27/2021,228.86,5.23,15934.66,407.32
Jawa Timur,12/18/2020,20.53,1.14,1818.6,139.41
DKI Jakarta,11/12/2020,76.62,1.01,10618.98,223.86
DKI Jakarta,4/13/2021,76.34,0.55,36336.69,593.48
Jawa Tengah,2/23/2021,22.74,3.96,4121.79,173.99
Jawa Tengah,2/8/2021,22.71,0.25,3765.89,156.53
DKI Jakarta,11/8/2020,76.16,0.74,10328.83,219.34
Jawa Barat,3/20/2021,18.2,0.15,5301.73,64.13
Jawa Tengah,2/25/2021,22.55,1.9,4178.99,178.03
DKI Jakarta,5/24/2021,75.51,0.92,39168.29,652.03
